date,ic,rank_ic
2026-01-12,-0.08725694827571907,-0.065033247714309
2026-01-13,-0.03713730096989141,0.0
2026-01-14,0.07979625266164464,0.1301628053236573
2026-01-15,0.1285340342409004,0.1892189081521491
2026-01-16,0.24548061820169864,0.26360368751853647
2026-01-19,0.28655803132517255,0.3539961627023943
2026-01-20,0.16376830450656985,0.21786957734000087
2026-01-21,0.13675399968432148,0.173421993904824
2026-01-22,0.11106499814067415,0.18301044496560076
2026-01-23,0.04353018798498161,0.08849904067559858
2026-01-26,0.0958724066391472,0.08849904067559858
2026-01-27,0.1883987626576229,0.1655808787784007
2026-01-28,0.20805865857403805,0.18301044496560076
2026-01-29,0.1758138580269034,0.13072174640400053
2026-01-30,0.07081922930384728,0.07843304784240031
2026-02-02,-0.08026197289999847,-0.061003481655200247
2026-02-03,-0.030748350518082595,-0.008714783093600034
2026-02-04,-0.06081835836619984,-0.061003481655200247
2026-02-05,-0.14712320537344656,-0.1655808787784007
2026-02-06,-0.15083037663165355,-0.2081063926857888
2026-02-09,-0.06602902548084993,-0.11329218021680046
2026-02-10,-0.1128851104262154,-0.18301044496560076
2026-02-11,-0.07090349591620662,-0.14159846508095772
2026-02-12,-0.06644341528984202,-0.13634673492338095
2026-02-13,-0.1778933701803232,-0.24598458059779382
2026-02-24,-0.15042907672648703,-0.21026299321513872
2026-02-25,-0.043346056654793345,-0.108388746190515
2026-02-26,0.02600087338276817,-0.012141968209867597
2026-02-27,0.05120373873042307,0.0
2026-03-02,0.30674949450648553,0.2586072710063133
2026-03-03,,
2026-03-04,,
2026-03-05,,
2026-03-06,-0.009426626554415184,0.05967860100145692
2026-03-09,-0.06048411736404569,-0.086710996952412
2026-03-10,-0.0257334773803248,-0.012141968209867597
2026-03-11,-0.02446684278024477,0.05825747806750334
2026-03-12,-0.026455810732275167,0.10211291794962735
2026-03-13,0.07274361533705201,0.2290866270115892
2026-03-16,0.04447154908757551,0.18307242137401525
2026-03-17,0.05233257864948537,0.21550026825953647
2026-03-18,0.08030269591675257,0.26644437987944786
2026-03-19,0.02573543102036876,0.22931783684582543
2026-03-20,0.02544555615403488,0.2676859048160134
2026-03-23,-0.01780747182458133,0.19810394179044416
2026-03-24,-0.14104952795590137,0.0676405130264665
2026-03-25,-0.18218905540419755,0.013406006534814986
2026-03-26,-0.27567543879504547,-0.10732085072686079
2026-03-27,-0.31147837310494864,-0.16974190525454813
2026-03-30,-0.30511231878763767,-0.16885320417991698
2026-03-31,0.14185733264580905,0.10971433792814128
2026-04-01,0.1272425287759451,0.06689898654154956
2026-04-02,0.08741404837462637,0.010703837846647931
2026-04-03,0.06179226735875122,-0.06487517844807336
2026-04-07,0.17372350199514688,0.07909439564217163
2026-04-08,0.1935128879037186,0.10436241900481735
2026-04-09,0.09647983783590568,-0.02072789286028605
2026-04-10,0.1417965409820769,0.05408040905900111
2026-04-13,0.19430192953513153,0.0951189731211342
2026-04-14,0.23236421576854518,0.14518159055331006
2026-04-15,0.2116039240504562,0.085106449634699
2026-04-16,0.07828775237064747,-0.06467029504729377
2026-04-17,0.054494130753634164,-0.09694584179118516
2026-04-20,0.043423538268183064,-0.09619721404877635
2026-04-21,0.1323933445914811,0.02238868314198225
2026-04-22,0.13471409218234112,0.03206573801625878
2026-04-23,0.14017487479969043,0.04328874632194936
2026-04-24,0.14011070143669851,0.02244601661138115
2026-04-27,0.1624906677300735,0.03447066836747819
2026-04-28,0.20656630800200965,0.10394745744491758
2026-04-29,-0.011152488666714745,-0.02885916421463291
2026-04-30,-0.01964035870793318,-0.04890025047479465
2026-05-06,-0.12356359965252946,-0.089554732567929
2026-05-07,-0.03461091635789761,0.03366902491707172
2026-05-08,-0.004461928066442418,0.05493597701500492
2026-05-11,-0.0027987396096870233,0.06630751770671892
2026-05-12,0.25866502157154975,0.2586568567329087
2026-05-13,0.27387995468314835,0.27650502066875104
2026-05-14,0.12670344761275615,0.19469788948631686
2026-05-15,0.17511048995061096,0.26360368751853647
2026-05-18,0.15372532281634002,0.20814079896736398
2026-05-19,0.2563317393878421,0.3216721438586535
2026-05-20,0.27592072417230756,0.34059403467386834
2026-05-21,0.32354905642712095,0.3784378163042982
2026-05-22,0.23431196566140702,0.2649064714130087
2026-05-25,0.25904435888138383,0.30275025304343856
2026-05-26,0.2583361716472913,0.31038822807949046
2026-05-27,0.2926725744738309,0.325166238571545
2026-05-28,0.22774800346363483,0.23069739598748434
2026-05-29,0.32451417589934356,0.28903665650803995
2026-06-01,0.2384242851432917,0.21882153700534204
2026-06-02,,
2026-06-03,-0.24634252081101018,-0.2983930050072846
2026-06-04,-0.3282586939675672,-0.40465131911125596
2026-06-05,-0.12367941495002788,-0.18212952314801395
2026-06-08,-0.06017332126669921,-0.086710996952412
2026-06-09,0.102530467521622,0.05006261743217588
2026-06-10,0.09813071257734751,0.07568756326085964
2026-06-11,0.16882475167912844,0.13634673492338095
2026-06-12,0.1669575139052667,0.14159846508095772
2026-06-15,0.16773025592358456,0.1823392241561733
2026-06-16,0.0011348623719446519,0.03504383220252312
2026-06-17,0.006866525867891582,0.030744112716609127
2026-06-18,-0.09718101968973182,-0.085106449634699
2026-06-22,0.04166602726116053,0.06846539733166732
2026-06-23,0.005217682903058879,0.031839265520185595
2026-06-24,-0.04070036773602069,-0.02661557098026148
2026-06-25,-0.24439421218976615,-0.20565318641515565
2026-06-26,-0.13536751029845717,-0.09014951461056307
2026-06-29,-0.02335574115705489,0.029364514885405233
2026-06-30,0.1123752792348133,0.1369605084588052
2026-07-01,0.026488809279890977,0.053099424405359155
2026-07-02,-0.02242742365299778,-0.008714783093600034
2026-07-03,-0.03298214291050785,-0.0346843987809648
2026-07-06,-0.03860627065207434,-0.04357391546800017
2026-07-07,-0.06197691267720889,-0.12389865694583801
2026-07-08,-0.03372298497206894,-0.08180804095402856
2026-07-09,-0.07447687590507247,-0.15137512652171928
2026-07-10,0.04214112471805899,-0.05006261743217588
2026-07-13,0.08812885344586324,0.0
2026-07-14,0.09663863206585624,0.0
2026-07-15,0.09650078741091563,0.0
2026-07-16,0.17400659066615232,0.13356165030854356
2026-07-17,-0.0755175086888274,-0.057807331301608
2026-07-20,-0.10038611533451319,-0.086710996952412
2026-07-21,-0.3110503681354843,-0.33817873900825596
2026-07-22,-0.14453353004500336,-0.21882153700534204
2026-07-23,-0.18913325595192945,-0.28903665650803995
2026-07-24,-0.08505715241815658,-0.21670479846014282
2026-07-27,-0.2184283308644443,-0.35977679064728707
2026-07-28,-0.19127064175826108,-0.27857990236742997
2026-07-29,-0.3494503729903934,-0.39553340217501975
2026-07-30,-0.2732406866487657,-0.29327135462827686
2026-07-31,-0.3374751098642128,-0.329045098264249
2026-08-03,-0.32960801970120124,-0.35961646855446344
2026-08-04,-0.3557789793480191,-0.3597084124978466
2026-08-05,-0.3925866880075103,-0.3977682427133974
2026-08-06,-0.34379430736045097,-0.33902863043573117
2026-08-07,-0.33802354446352884,-0.3252684725767964
2026-08-10,-0.3351539869042387,-0.34702458870072483
2026-08-11,-0.36240941633577173,-0.3694132718427071
2026-08-12,-0.2184972961426555,-0.21269248984883138
2026-08-13,-0.2186484992951498,-0.21269248984883138
2026-08-14,-0.1339088357039972,-0.11194341570991123
2026-08-17,-0.05657410063691416,-0.06716604942594674
2026-08-18,0.02667766615438768,0.03358302471297337
2026-08-19,-0.06610612691714987,-0.06457535852627576
2026-08-20,-0.04469084447829363,-0.039979791324968296
2026-08-21,0.01519347784021707,0.015329810571104566
2026-08-24,0.061492276879626884,0.06882472016116851
2026-08-25,-0.13582358211741116,-0.09467992115213082
2026-08-26,-0.01696232055171158,0.06045635417583431
2026-08-27,-0.10679893551816856,-0.01962370271885454
2026-08-28,-0.09698909209180111,-0.027985853927477815
2026-08-31,-0.09602088085371485,-0.03370717679890611
2026-09-01,-0.1664475211421235,-0.11004190301639519
2026-09-02,-0.05617172054694494,0.012141968209867597
2026-09-03,-0.1810006080403419,-0.14451832825401997
2026-09-04,0.05619524612140322,0.0
2026-09-07,,
